	Swap			Reasignar general			Reasignar reducido			Swap+general			Swap+reducido					Swap			Reasignar general			Reasignar reducido			Swap+general			Swap+reducido											
	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final			Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final		t de Student	S+RG	S+S&RG	S+S&RR	RG+S&RG	RG+S&RR	S&RG+S&RR	S&RG+RR
1,000.00	4798	107	2195.765829	5045	66	2780.970769	73	5	3772.58003	12268	106	2113.632456	6224	126	2175.485599		1,000	4,823.00	110.50	2,187.20	5,374.10	71.90	2,620.86	68.30	7.00	3,753.08	11,373.40	106.20	2,144.26	5,370.00	113.60	2,168.40			0.00	0.00	0.00	0.00	0.00	0.00006179353274	0.00
	5336	121	2164.211604	6642	84	2530.620067	65	8	3731.371351	10531	99	2194.714356	5531	119	2174.379371		1,001	4,422.20	99.40	2,639.76	4,560.30	58.90	3,002.94	64.50	7.00	3,944.46	11,819.10	114.20	2,549.71	4,939.10	108.90	2,621.12									
	4913	110	2161.077396	6744	91	2353.346687	75	11	3567.002747	10189	92	2236.953341	5163	109	2142.172858		1,002	4,796.60	110.80	2,181.43	4,705.50	62.20	2,787.47	63.30	5.90	3,783.41	12,581.80	113.80	2,140.15	5,256.50	108.60	2,171.94									
	4557	107	2191.259089	5306	71	2813.908809	79	10	3769.374429	11469	105	2106.481469	5205	110	2167.797401		1,003	4,462.20	99.20	2,406.31	4,386.90	57.10	2,834.66	64.60	6.30	3,760.05	12,084.20	113.00	2,317.31	5,106.00	108.00	2,383.59									
	4436	103	2182.339968	4655	60	2834.328508	68	6	3699.169792	10828	98	2142.138516	4762	101	2125.044842		1,004	4,649.10	106.20	2,278.46	4,878.90	65.50	2,747.02	66.10	7.20	3,739.24	11,749.10	109.20	2,231.56	4,961.00	110.40	2,270.64									
	4884	115	2182.840446	5385	75	2506.969009	76	7	4017.397183	10682	101	2125.938469	4980	110	2162.711763		1,005	4,699.40	101.70	2,233.26	4,329.10	55.30	2,766.29	64.60	5.80	3,667.53	11,087.60	102.10	2,212.08	4,589.80	102.70	2,248.76									
	5004	112	2161.634984	4773	64	2552.065395	65	6	3666.912691	11691	114	2067.023508	5608	117	2203.339716		1,006	4,766.30	107.40	2,518.91	5,584.50	78.30	2,801.77	68.20	7.00	3,882.94	11,933.00	110.10	2,450.46	4,746.80	108.70	2,516.81									
	5224	113	2212.226147	4552	60	2604.374981	61	5	3678.72839	12889	124	2118.682504	5869	121	2150.776721		1,007	4,577.00	102.20	2,512.12	5,190.00	69.90	2,794.05	67.20	6.00	3,850.12	11,605.20	107.50	2,424.39	4,503.20	97.20	2,524.40									
	4491	107	2219.088166	5100	70	2551.680625	56	4	3740.776962	12194	118	2188.648988	5788	121	2207.405174		1,008	4,509.00	101.40	2,310.15	4,401.70	57.20	2,720.04	69.50	5.00	3,601.45	10,890.50	100.90	2,276.03	4,342.20	95.20	2,308.76									
	4587	110	2201.544069	5539	78	2680.315649	65	8	3887.443853	10993	105	2148.383559	4570	102	2174.839308		1,009	4,811.10	109.50	2,179.81	4,756.60	61.80	2,685.63	73.30	6.10	3,590.23	11,671.40	111.90	2,131.96	4,983.50	108.80	2,195.61									
