	Random			Todo a 1			Greedy		
	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final
1000	10948.8	114.7	2145.318838	23079	133	2212.87794	13129	112	2114.746236
1001	10604.8	107.4	2580.842596	25424	142	2539.471967	11179	97	2504.657052
1002	11585.4	116.8	2119.844855	23383	135	2262.786445	9033	77	2110.852559
1003	11185.6	109.5	2365.924415	24987	145	2443.949665	12599	109	2296.518789
1004	11772.7	114.2	2218.97426	24932	153	2188.87772	9178	76	2181.876452
1005	11414.8	110.9	2216.851564	22006	112	2277.359503	9723	88	2097.538381
1006	10692.2	106.5	2454.081721	24829	137	2529.375672	8599	76	2381.707122
1007	11562.2	115	2401.875228	25472	160	2469.93291	10515	93	2399.496142
1008	11824	111.1	2269.46527	21674	110	2415.247384	9285	84	2228.342184
1009	12141.6	116.5	2123.862832	20752	123	2365.146194	9468	89	2114.246512
