grupos: 100																																																												
Centros:	Texec.5	nodesExpanded.5	Heuristico final.5	Texec.10	nodesExpanded.10	Heuristico final.10	Texec.15	nodesExpanded.15	Heuristico final.15	Texec.20	nodesExpanded.20	Heuristico final.20	Texec.25	nodesExpanded.25	Heuristico final.25	Texec.30	nodesExpanded.30	Heuristico final.30	Texec.35	nodesExpanded.35	Heuristico final.35	Texec.40	nodesExpanded.40	Heuristico final.40	Texec.45	nodesExpanded.45	Heuristico final.45	Texec.50	nodesExpanded.50	Heuristico final.50	Texec.55	nodesExpanded.55	Heuristico final.55	Texec.60	nodesExpanded.60	Heuristico final.60	Texec.65	nodesExpanded.65	Heuristico final.65	Texec.70	nodesExpanded.70	Heuristico final.70	Texec.75	nodesExpanded.75	Heuristico final.75	Texec.80	nodesExpanded.80	Heuristico final.80	Texec.85	nodesExpanded.85	Heuristico final.85	Texec.90	nodesExpanded.90	Heuristico final.90	Texec.95	nodesExpanded.95	Heuristico final.95	Texec.100	nodesExpanded.100	Heuristico final.100
	6917	112	2114.746236	4141	73	2147.169596	6064	102	1885.157379	5991	89	1810.138155	6906	94	1771.312582	6140	78	1738.966027	7562	92	1744.070677	7203	80	1765.471316	7054	76	1730.267396	10326	102	1607.450586	8903	90	1626.427197	9229	85	1603.272555	10323	93	1582.380932	9751	78	1578.874204	9760	79	1579.95331	9577	74	1569.771536	12096	83	1595.879541	13444	85	1571.454922	12975	88	1548.42107	15886	84	1568.397047
	6157	97	2504.657052	4982	88	2139.219379	5725	94	2058.869363	5386	81	2006.260631	6202	85	1962.552277	7774	97	1868.295935	6332	78	1913.796611	7508	88	1876.668547	8609	96	1816.291463	8217	84	1808.948623	9855	95	1813.606138	8241	75	1812.872781	8989	79	1788.837935	8522	78	1752.398153	9709	81	1792.403864	9700	76	1723.688506	11224	72	1743.603053	10738	77	1735.339562	10999	75	1724.523126	14328	87	1715.140287
	4895	77	2110.852559	5205	90	1923.715849	4298	69	1883.845727	5878	83	1814.531528	5874	80	1808.879098	5302	69	1783.601905	7696	93	1671.899158	6964	81	1704.561287	8695	96	1635.861704	8525	88	1682.080486	8811	91	1619.316973	8286	77	1638.104118	8778	76	1606.369597	9317	76	1596.978314	10533	84	1573.354069	10800	81	1574.146668	16217	83	1562.62608	12211	87	1556.507566	14388	87	1534.836254	14197	88	1524.692722
	6653	109	2296.518789	5353	96	1929.495258	5965	93	1952.267893	7002	106	1796.385087	6834	92	1739.139089	6949	85	1720.000502	6758	84	1648.750991	6106	67	1717.151825	6859	74	1678.369205	7799	81	1618.421278	9000	89	1636.792812	9685	91	1567.195607	8879	78	1590.700264	9495	83	1596.35336	10192	83	1565.763594	10030	73	1562.79228	10031	78	1529.512627	10358	75	1537.980986	12498	77	1555.348651	14223	81	1556.622705
	4927	76	2181.876452	4406	78	2227.915909	4833	80	2100.016038	5895	85	1906.849494	7658	110	1881.524912	8462	92	1959.000469	6082	71	1908.648635	7679	89	1843.291064	9400	104	1799.641328	8946	93	1744.336536	8481	87	1776.997679	8183	76	1799.071533	7967	72	1773.743911	9149	82	1743.252071	10415	86	1748.232014	11478	79	1750.530654	12281	93	1728.044895	13938	90	1718.068801	13633	84	1744.765842	14978	75	1782.750367
	5275	88	2097.538381	4633	77	2133.239974	4456	73	1982.988407	5486	77	1808.995441	7115	100	1807.190352	6582	86	1826.000654	7112	84	1837.705107	6530	74	1773.031141	6874	72	1691.040896	7192	75	1682.24947	8719	87	1611.658487	8616	78	1673.551379	11571	101	1589.848591	8703	76	1619.704994	11107	89	1578.72296	10035	79	1590.435342	11742	87	1544.937485	11145	78	1530.49711	12900	79	1531.044834	12840	66	1549.991977
	4877	76	2381.707122	5005	85	2128.638987	4671	80	2136.585549	5491	76	2064.228705	6372	83	2030.906669	7284	88	2015.413207	9188	109	2065.535311	8392	94	1920.904654	6901	77	1903.198906	7165	74	1901.483192	8190	85	1868.428908	9318	88	1858.772172	8586	77	1857.105043	8341	75	1836.655649	8854	70	1825.148279	10890	77	1833.387409	10099	76	1797.320535	10845	77	1799.391447	11612	78	1794.872795	12027	74	1794.410423
	6070	93	2399.496142	5642	93	2131.721256	4989	85	1997.119606	4612	71	1972.774709	6727	85	1932.346945	7217	93	1922.44198	6005	69	1888.798584	6826	75	1824.948426	7961	78	1849.818549	7457	74	1824.742911	6562	67	1849.545455	9566	89	1846.833646	9298	83	1778.342739	9615	86	1816.729898	10226	82	1769.007354	12051	94	1723.449962	9683	68	1768.450597	9918	72	1727.224014	10344	71	1747.038116	14623	73	1759.392234
	5181	84	2228.342184	4240	74	1947.826766	3716	61	1906.02837	6017	92	1879.262404	5951	73	1847.758374	6029	75	1869.410944	5893	72	1686.825939	6191	68	1697.150742	8396	93	1647.811287	7618	76	1678.80066	8672	88	1673.533199	8557	79	1670.769176	8488	75	1678.018909	8775	76	1650.155535	10453	84	1601.37231	10919	88	1579.82075	10836	78	1604.63967	10883	77	1595.0481	11830	73	1587.408276	11501	72	1582.396905
	5355	89	2114.246512	5362	97	2022.860578	5364	91	1990.684751	5799	87	1779.602015	6438	85	1780.846732	6406	78	1692.620778	8007	96	1722.184907	7002	79	1662.911697	7473	80	1675.447792	9632	101	1601.304332	8551	85	1618.966705	8620	80	1548.735606	9031	78	1561.928369	8418	74	1587.822692	9803	79	1553.263336	11813	80	1523.672842	11534	84	1510.72154	10678	77	1515.945071	11017	74	1517.374325	12600	78	1501.015202
