Centros: 5												
Grupos:												
	Texec.100	nodesExpanded.100	Heuristico final.100	Texec.150	nodesExpanded.150	Heuristico final.150	Texec.200	nodesExpanded.200	Heuristico final.200	Texec.250	nodesExpanded.250	Heuristico final.250
1000	2522	101	2087.239614	12882	160	3186.666261	45740	212	4435.653021	151068	297	5319.337947
1001	2761	108	2618.819304	15008	188	3873.943628	60715	282	5125.616476	141486	277	6187.310207
1002	2666	106	2161.129182	15104	191	3144.327341	59012	272	4157.868472	166629	326	5261.819264
1003	2932	121	2407.047763	11735	147	3506.282439	44872	203	4774.58158	153795	306	5880.637919
1004	2493	104	2290.279182	12756	159	3176.803519	48773	223	4252.556962	172377	339	5394.181082
1005	2545	105	2194.568932	11299	144	3431.635909	64100	232	4435.391874	154466	296	5569.327734
1006	2613	103	2461.364663	12389	157	3612.230782	60972	225	4657.685603	137253	270	5760.248882
1007	2333	97	2414.5291	12375	156	3791.729446	55958	249	4805.081227	182537	357	5894.746171
1008	2851	116	2299.113714	11512	146	3463.40233	57602	262	4558.562733	134923	263	5894.330134
1009	2920	117	2154.000524	17184	217	3196.481778	51003	237	4408.217306	152366	298	5496.487474
