Texec.1	nodesExpanded.1	Heuristico final.1	Texec.2	nodesExpanded.2	Heuristico final.2	Texec.3	nodesExpanded.3	Heuristico final.3	Texec.4	nodesExpanded.4	Heuristico final.4	Texec.5	nodesExpanded.5	Heuristico final.5	Texec.6	nodesExpanded.6	Heuristico final.6	Texec.7	nodesExpanded.7	Heuristico final.7	Texec.8	nodesExpanded.8	Heuristico final.8	Texec.9	nodesExpanded.9	Heuristico final.9	Texec.10	nodesExpanded.10	Heuristico final.10	Texec.11	nodesExpanded.11	Heuristico final.11	Texec.12	nodesExpanded.12	Heuristico final.12	Texec.13	nodesExpanded.13	Heuristico final.13	Texec.14	nodesExpanded.14	Heuristico final.14	Texec.15	nodesExpanded.15	Heuristico final.15
13000	112	2104.746236	11743	112	2073.859458	8189	73	2069.453491	9928	79	2061.842751	10546	83	1995.496688	16526	97	1990.432826	14996	90	1958.842928	16959	90	1998.267798	15375	94	1970.585781	13552	84	1958.465639	15629	84	2021.55004	20280	94	1900.134722	19335	83	1908.238427	30777	94	1919.121503	19899	94	1907.563809
10779	97	2504.657052	9064	81	2511.91219	9868	79	2477.978673	10685	89	2468.658618	13389	89	2497.247566	13143	88	2422.153755	10911	68	2498.551275	13637	84	2459.889108	12576	79	2505.544368	16693	102	2451.258619	14793	82	2443.993892	19567	101	2429.651045	16814	75	2498.16096	21629	93	2438.489483	17911	85	2500.301168
3	77	2110.852559	8575	84	2076.653643	11737	82	2050.760598	12217	93	1966.267793	12076	81	1941.63661	12766	73	1972.860306	12457	83	1940.58533	16211	97	1905.271766	13483	83	1946.226118	13866	78	1960.362225	12796	69	1925.592535	14573	80	1907.362217	16325	76	1930.649134	16123	75	1927.428695	17636	76	1950.420897
12140	109	2296.518789	9357	89	2290.02197	14973	125	2271.889925	11251	91	2265.226198	13786	103	2211.593296	15181	98	2235.417082	17036	100	2233.305811	15474	98	2177.368303	13818	86	2255.789453	17203	95	2265.785825	15794	91	2208.606758	18430	105	2196.066502	18901	87	2250.675758	19080	90	2200.69103	20375	96	2181.42306
8846	76	2181.876452	7987	78	2194.332111	10801	97	2133.811008	9186	72	2121.462609	10764	74	2085.194502	10952	76	2052.350871	14489	81	2020.195776	14326	83	2010.614208	12601	78	2024.251173	11945	71	2062.767397	16648	85	1987.154656	16619	87	1975.610767	13237	70	2028.328225	14931	64	2015.372615	17070	76	1989.046417
10410	88	2097.538381	10232	97	2039.79443	10226	94	2019.617419	9766	80	2030.7888	13431	89	1988.815693	13447	90	1971.558098	12442	88	1969.135639	12461	79	2031.743824	13094	79	2014.222609	16275	84	1952.080821	14315	79	1990.089348	14734	80	1988.033261	16421	88	1979.536707	19075	86	1995.20301	17157	80	1984.325151
8792	76	2381.707122	9306	89	2371.157823	9433	81	2369.516017	11086	91	2332.665557	15014	99	2346.091183	14635	96	2344.960639	12845	83	2358.534841	15244	104	2377.254177	12512	80	2343.234781	12578	73	2360.989454	13477	83	2383.988631	14097	79	2344.709831	14789	74	2390.25104	19213	90	2341.291017	19855	81	2386.000834
10786	93	2399.496142	10390	99	2306.263715	10646	94	2311.823215	11406	94	2315.673519	14974	105	2328.949538	13610	92	2290.625431	14608	94	2207.740723	16845	110	2226.534596	15273	91	2292.239604	16247	96	2209.645413	16664	93	2290.412326	20375	98	2250.072643	17839	87	2222.708677	17860	84	2216.755482	20009	87	2202.09488
9869	84	2228.342184	11827	89	2225.898037	10119	91	2182.086485	12345	98	2151.828356	13329	94	2175.71879	13613	89	2148.826416	14635	97	2141.770473	14376	94	2155.644079	13351	83	2189.495378	15863	93	2159.992848	16612	94	2218.743951	15611	88	2216.382191	19338	71	2241.233329	18305	78	2226.282894	20009	92	2220.725795
10085	89	2114.246512	11266	102	1996.623174	11398	102	2053.133657	15000	119	1999.477136	11695	83	2026.363105	12656	92	1984.846636	16192	91	1911.980261	18240	118	1953.988861	15209	96	1944.931012	15697	99	1973.866642	18547	106	1880.829265	18306	91	1893.813208	34156	89	1876.197792	16668	79	1904.43405	20325	90	1897.359275
