HC	Mismo peso			*2 prioritarios			*4 prioritarios			*8 prioritarios			*16 prioritarios			*32 prioritarios			*64 prioritarios			*128 prioritarios		
	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos
1000	12780	1895.253805	2207.910573	14836	1861.368202	2231.001209	20982	1416.245485	2265.326109	22462	1307.871302	2406.343744	21355	1265.75941	2496.436345	21977	1290.467415	2433.160477	21581	1095.399435	2441.437579	20478	1095.399435	2441.437579
1001	15938	2282.270598	2516.190729	14893	2012.980613	2466.887418	15507	1934.054536	2605.361039	20817	1796.400345	2635.460098	19805	1630.611303	2614.58417	20491	1654.838719	2732.472301	21536	1570.101978	2660.392684	23075	1520.357878	2683.574639
1002	13495	1826.557368	2094.906245	10247	1853.194984	2172.198776	13042	1795.78602	2183.298463	14760	1679.137022	2307.221833	16588	1532.347845	2313.41279	17256	1517.660961	2296.740153	18400	1483.624052	2301.996304	16958	1558.20625	2299.784304
1003	15834	2098.045628	2296.30006	14226	2148.04431	2299.170166	17707	1732.558675	2340.355784	20644	1566.034224	2339.326435	23337	1432.231242	2452.685364	25027	1443.211703	2528.257527	30250	1314.184006	2523.271765	27396	1308.649605	2563.455766
1004	11232	2109.279108	2218.939007	12587	2112.68006	2212.88954	15522	1862.792911	2252.054673	17709	1749.299485	2356.712372	19351	1622.806536	2315.407849	19578	1609.019124	2395.037735	18934	1609.845044	2441.680104	17174	1621.385386	2406.446461
1005	12095	1809.968864	2125.667848	12362	1774.110867	2107.93624	12944	1686.475554	2238.662852	16235	1337.087988	2267.18434	19898	1217.913168	2337.376461	22772	1213.382144	2362.301136	19481	1156.01923	2372.637467	18882	1196.649606	2373.364666
1006	12536	2314.289307	2391.946144	12312	2300.504377	2425.175753	19125	1817.725435	2527.358476	24257	1625.843891	2587.9225	23985	1548.452975	2641.440761	27011	1561.521573	2633.748776	26785	1543.709444	2625.336118	23326	1539.511197	2561.066805
1007	14516	2262.294594	2392.705559	15491	2102.724222	2391.90405	19026	1837.348147	2446.974368	21685	1518.885156	2544.208492	19137	1453.308145	2518.099276	20401	1439.659901	2550.164908	23291	1365.68876	2495.588594	22891	1482.290523	2603.410555
1008	13881	2081.897876	2231.127582	13884	1958.518629	2215.257336	16140	1665.680355	2318.493196	19320	1213.095411	2335.825024	20990	1191.464378	2312.472374	19015	1295.031681	2317.721919	25841	1193.503854	2436.399562	20329	1156.045892	2338.434924
1009	15810	1981.320128	2090.324647	13162	1879.869574	2106.904915	18431	1593.548436	2247.798523	21959	1388.283864	2335.888475	25151	1111.255845	2444.809917	26417	1101.537687	2462.512858	26958	1097.424806	2488.841526	22739	1193.791289	2463.181869
