SA	Mismo peso			*2 prioritarios			*4 prioritarios			*8 prioritarios			*16 prioritarios			*32 prioritarios			*64 prioritarios			*128 prioritarios		
	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos	Texec	Tiempo prio.	Suma todos
1000	2095	1631.600419	2159.414502	3061	1608.620923	2120.9025	3160	1299.832424	2441.340873	2336	1155.905927	2540.050558	2854	1134.53552	2631.175025	2822	1119.336726	2564.011584	2530	1093.297411	2648.345954	2524	1157.984774	2663.403871
1001	2143	1864.174209	2496.173456	2189	2139.699322	2512.565854	2609	1848.23055	2627.903795	2197	1705.239817	2710.006003	2300	1632.996824	2833.10747	2811	1649.56915	2841.406986	2520	1568.732781	2767.093777	2399	1570.829828	2799.414019
1002	2059	1807.010216	2100.247052	2289	1919.37979	2097.980203	2424	1595.87022	2198.860807	2456	1437.459879	2379.676539	2381	1450.933227	2347.040048	3283	1390.630341	2462.015712	2675	1445.163214	2431.12995	2598	1381.899805	2373.035187
1003	2120	2053.34874	2316.405193	2184	1936.37374	2331.999144	2426	1683.394009	2424.554914	2350	1377.029011	2454.611875	3899	1255.364227	2561.227972	3890	1318.28479	2627.352116	2588	1310.323098	2678.441046	3342	1266.169439	2657.464866
1004	2163	2091.368405	2226.0897	2307	1959.087729	2205.923294	2296	1777.836711	2272.15292	2328	1658.733739	2479.691114	2758	1569.340553	2368.700018	3614	1560.726646	2472.782799	2983	1587.296251	2477.99267	2450	1582.699668	2469.118261
1005	2748	1743.608616	2138.644689	2318	1607.619022	2177.481905	2219	1466.319862	2212.395842	2362	1140.892745	2416.123702	2935	1129.795822	2479.504238	4987	1151.376953	2501.341156	2943	1105.374959	2448.667586	2523	1177.188192	2450.173294
1006	2133	2211.009537	2417.688101	2093	2340.994377	2405.849163	2246	1678.55173	2575.349894	2468	1524.659483	2690.164402	2595	1526.738664	2780.455938	3229	1526.134408	2701.691086	2628	1665.15084	2745.467786	2434	1586.867764	2786.862993
1007	2248	2010.220156	2336.41492	2122	1860.474087	2278.158338	3095	1507.524289	2476.83261	2434	1393.152148	2532.469266	2464	1403.252374	2582.693409	3259	1415.449711	2601.645987	2513	1446.804304	2607.493353	3245	1294.336625	2522.947222
1008	2349	1623.484701	2296.408507	2197	1733.70868	2312.006929	2422	1206.574525	2301.654743	2309	1134.029189	2316.819316	2634	1075.628649	2504.386188	2818	1108.084591	2406.155021	2334	1110.374689	2325.763819	2704	1084.152429	2391.934363
1009	2146	1784.083629	2096.268209	2019	1768.843655	2067.201248	2424	1508.469876	2282.935626	2295	1078.89089	2511.747254	2448	1057.826932	2575.544125	2889	1035.421637	2528.418634	2873	1003.054049	2502.809006	3933	1053.616113	2595.176445
