Greedy	Suma tiempo helicopteros			Suma tiempo helicopteros ponderada		
	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final
1000	8818	72	2152.510824	11783	112	2104.746236
1001	10204	92	2528.490231	9992	97	2504.657052
1002	8426	80	2083.120403	8107	77	2110.852559
1003	9252	88	2325.169412	10653	109	2296.518789
1004	10084	92	2224.362209	8213	76	2181.876452
1005	8751	85	2102.481765	9170	88	2097.538381
1006	9027	84	2402.065682	8230	76	2381.707122
1007	11579	103	2335.879537	10563	93	2399.496142
1008	9193	84	2230.057753	10709	84	2228.342184
1009	9593	94	2095.524221	9948	89	2114.246512
